canton,mes,anio,produccion,area,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,IMERG_PRECTOT,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS10M,WS2M
OREAMUNO,febrero,2009,58.36,1416.22,17.63,11.52,25.59,0.73,0.73,0.75,-999.0,108.08,87.89,18.83,16.47,17.65,24.27,14.31,2.17,0.17
OREAMUNO,marzo,2009,71.05,1748.68,18.56,12.13,26.98,0.75,0.76,0.77,-999.0,167.74,86.62,18.92,16.3,17.61,26.19,13.92,1.74,0.17
OREAMUNO,abril,2009,124.16,2886.68,18.04,12.28,27.49,0.66,0.66,0.66,-999.0,47.92,81.9,20.45,16.76,18.6,27.03,15.26,1.62,0.15
OREAMUNO,mayo,2009,63.06,1512.0,15.23,11.94,26.18,0.66,0.66,0.68,-999.0,157.55,85.64,21.31,18.41,19.86,28.07,16.78,0.99,0.13
OREAMUNO,junio,2009,23.11,540.49,16.01,11.95,26.08,0.76,0.77,0.8,-999.0,210.03,91.34,20.9,19.18,20.04,26.11,16.94,0.82,0.16
OREAMUNO,julio,2009,83.83,2200.3,15.24,11.94,26.14,0.86,0.88,0.88,-999.0,262.95,91.29,20.7,18.97,19.83,26.18,16.89,1.26,0.12
OREAMUNO,agosto,2009,56.2,1399.0,14.75,12.01,26.34,0.91,0.93,0.91,-999.0,192.45,90.92,20.52,18.72,19.62,26.12,15.96,1.06,0.13
OREAMUNO,septiembre,2009,97.67,2503.0,17.59,11.99,26.33,0.87,0.88,0.88,-999.0,110.15,88.78,20.9,18.63,19.76,27.01,16.35,0.92,0.12
OREAMUNO,octubre,2009,36.58,990.17,13.86,11.45,24.94,0.9,0.92,0.9,-999.0,241.98,92.85,20.57,19.14,19.86,26.33,15.79,0.83,0.15
OREAMUNO,noviembre,2009,49.18,1323.0,12.91,10.66,23.23,0.91,0.93,0.91,-999.0,144.91,91.88,20.19,18.6,19.4,24.77,15.52,1.17,0.14
OREAMUNO,diciembre,2009,54.56,1343.42,14.44,10.2,22.38,0.84,0.84,0.84,-999.0,44.65,89.56,19.97,17.94,18.96,25.53,16.12,1.35,0.16
EL GUARCO,enero,2009,,,15.37,10.45,23.07,0.77,0.77,0.8,-999.0,51.24,81.19,20.41,16.89,18.65,25.22,16.43,1.19,0.42
EL GUARCO,febrero,2009,,,17.63,11.52,25.59,0.7,0.7,0.71,-999.0,98.73,75.13,20.88,15.99,18.43,26.78,15.33,1.95,0.52
EL GUARCO,marzo,2009,,,18.56,12.13,26.98,0.71,0.71,0.73,-999.0,151.31,76.33,21.01,16.27,18.64,27.88,15.81,1.58,0.55
EL GUARCO,abril,2009,,,18.04,12.28,27.49,0.65,0.64,0.64,-999.0,52.59,74.08,22.22,16.83,19.52,28.94,17.16,1.15,0.44
EL GUARCO,mayo,2009,,,15.23,11.94,26.18,0.67,0.68,0.72,-999.0,167.91,85.55,21.9,19.05,20.47,27.52,18.62,0.78,0.45
EL GUARCO,junio,2009,,,16.01,11.95,26.08,0.77,0.78,0.83,-999.0,193.19,89.66,21.55,19.56,20.55,26.98,18.18,0.88,0.49
EL GUARCO,julio,2009,,,15.24,11.94,26.14,0.85,0.85,0.88,-999.0,245.46,86.62,21.72,19.16,20.44,26.32,18.32,0.89,0.4
EL GUARCO,agosto,2009,,,14.75,12.01,26.34,0.88,0.89,0.9,-999.0,202.3,87.05,21.52,19.02,20.27,26.36,16.95,0.74,0.41
EL GUARCO,septiembre,2009,,,17.59,11.99,26.33,0.85,0.86,0.87,-999.0,115.83,85.49,21.84,18.97,20.41,27.14,18.1,0.75,0.42
EL GUARCO,octubre,2009,,,13.86,11.45,24.94,0.89,0.9,0.91,-999.0,230.61,91.63,21.21,19.59,20.4,26.43,17.94,1.05,0.55
EL GUARCO,noviembre,2009,,,12.91,10.66,23.23,0.9,0.92,0.92,-999.0,167.73,88.85,21.04,18.93,19.99,26.04,15.97,0.9,0.41
EL GUARCO,diciembre,2009,,,14.44,10.2,22.38,0.83,0.83,0.84,-999.0,43.75,83.17,21.23,18.04,19.63,26.01,17.75,0.97,0.4
CARTAGO,enero,2009,41.66,876.66,15.37,10.45,23.07,0.79,0.79,0.8,-999.0,59.64,89.06,19.01,16.91,17.96,23.59,15.55,1.74,0.16
CARTAGO,febrero,2009,112.21,2300.61,17.63,11.52,25.59,0.73,0.73,0.75,-999.0,108.08,87.89,18.83,16.47,17.65,24.27,14.31,2.17,0.17
CARTAGO,marzo,2009,157.87,3353.65,18.56,12.13,26.98,0.75,0.76,0.77,-999.0,167.74,86.62,18.92,16.3,17.61,26.19,13.92,1.74,0.17
CARTAGO,abril,2009,45.36,946.25,18.04,12.28,27.49,0.66,0.66,0.66,-999.0,47.92,81.9,20.45,16.76,18.6,27.03,15.26,1.62,0.15
CARTAGO,mayo,2009,11.39,235.66,15.23,11.94,26.18,0.66,0.66,0.68,-999.0,157.55,85.64,21.31,18.41,19.86,28.07,16.78,0.99,0.13
CARTAGO,junio,2009,21.35,513.36,16.01,11.95,26.08,0.76,0.77,0.8,-999.0,210.03,91.34,20.9,19.18,20.04,26.11,16.94,0.82,0.16
CARTAGO,julio,2009,42.4,1082.16,15.24,11.94,26.14,0.86,0.88,0.88,-999.0,262.95,91.29,20.7,18.97,19.83,26.18,16.89,1.26,0.12
CARTAGO,agosto,2009,226.99,5278.0,14.75,12.01,26.34,0.91,0.93,0.91,-999.0,192.45,90.92,20.52,18.72,19.62,26.12,15.96,1.06,0.13
CARTAGO,septiembre,2009,156.48,3637.0,17.59,11.99,26.33,0.87,0.88,0.88,-999.0,110.15,88.78,20.9,18.63,19.76,27.01,16.35,0.92,0.12
CARTAGO,octubre,2009,128.47,3252.0,13.86,11.45,24.94,0.9,0.92,0.9,-999.0,241.98,92.85,20.57,19.14,19.86,26.33,15.79,0.83,0.15
CARTAGO,noviembre,2009,137.04,3590.0,12.91,10.66,23.23,0.91,0.93,0.91,-999.0,144.91,91.88,20.19,18.6,19.4,24.77,15.52,1.17,0.14
CARTAGO,diciembre,2009,41.83,919.38,14.44,10.2,22.38,0.84,0.84,0.84,-999.0,44.65,89.56,19.97,17.94,18.96,25.53,16.12,1.35,0.16
ALVARADO,enero,2009,24.18,626.54,15.37,10.45,23.07,0.79,0.79,0.8,-999.0,59.64,89.06,19.01,16.91,17.96,23.59,15.55,1.74,0.16
ALVARADO,febrero,2009,26.63,604.66,17.63,11.52,25.59,0.73,0.73,0.75,-999.0,108.08,87.89,18.83,16.47,17.65,24.27,14.31,2.17,0.17
ALVARADO,marzo,2009,7.91,148.63,18.56,12.13,26.98,0.75,0.76,0.77,-999.0,167.74,86.62,18.92,16.3,17.61,26.19,13.92,1.74,0.17
ALVARADO,abril,2009,87.53,2060.58,18.04,12.28,27.49,0.66,0.66,0.66,-999.0,47.92,81.9,20.45,16.76,18.6,27.03,15.26,1.62,0.15
ALVARADO,mayo,2009,81.01,1883.13,15.23,11.94,26.18,0.66,0.66,0.68,-999.0,157.55,85.64,21.31,18.41,19.86,28.07,16.78,0.99,0.13
ALVARADO,junio,2009,42.02,1261.51,16.01,11.95,26.08,0.76,0.77,0.8,-999.0,210.03,91.34,20.9,19.18,20.04,26.11,16.94,0.82,0.16
ALVARADO,julio,2009,43.23,1035.09,15.24,11.94,26.14,0.86,0.88,0.88,-999.0,262.95,91.29,20.7,18.97,19.83,26.18,16.89,1.26,0.12
ALVARADO,agosto,2009,68.32,1816.0,14.75,12.01,26.34,0.91,0.93,0.91,-999.0,192.45,90.92,20.52,18.72,19.62,26.12,15.96,1.06,0.13
ALVARADO,septiembre,2009,74.24,2068.0,17.59,11.99,26.33,0.87,0.88,0.88,-999.0,110.15,88.78,20.9,18.63,19.76,27.01,16.35,0.92,0.12
ALVARADO,octubre,2009,29.59,745.66,13.86,11.45,24.94,0.9,0.92,0.9,-999.0,241.98,92.85,20.57,19.14,19.86,26.33,15.79,0.83,0.15
ALVARADO,noviembre,2009,8.05,211.14,12.91,10.66,23.23,0.91,0.93,0.91,-999.0,144.91,91.88,20.19,18.6,19.4,24.77,15.52,1.17,0.14
ALVARADO,diciembre,2009,27.52,638.15,14.44,10.2,22.38,0.84,0.84,0.84,-999.0,44.65,89.56,19.97,17.94,18.96,25.53,16.12,1.35,0.16
TURRIALBA,enero,2010,0.53,7.52,17.06,10.49,23.32,0.79,0.8,0.81,-999.0,149.69,88.51,19.43,17.21,18.32,25.14,15.08,1.7,0.16
TURRIALBA,febrero,2010,3.5,115.92,15.83,10.89,24.22,0.7,0.7,0.72,-999.0,64.47,87.4,20.36,17.9,19.13,26.46,15.19,1.38,0.14
TURRIALBA,marzo,2010,,,17.38,11.65,26.0,0.69,0.69,0.7,-999.0,89.62,83.92,20.73,17.5,19.11,28.47,14.71,1.42,0.14
TURRIALBA,abril,2010,,,16.45,12.14,26.69,0.62,0.62,0.63,-999.0,112.11,82.68,21.83,18.21,20.02,29.68,14.84,1.12,0.14
TURRIALBA,mayo,2010,,,15.62,12.29,26.82,0.72,0.73,0.75,-999.0,230.63,90.07,21.66,19.69,20.68,26.94,17.57,1.14,0.15
TURRIALBA,junio,2010,,,15.17,11.99,26.09,0.81,0.82,0.84,-999.0,183.16,89.9,20.69,18.7,19.7,26.93,15.91,0.78,0.13
TURRIALBA,julio,2010,,,14.73,12.05,26.24,0.87,0.88,0.88,-999.0,208.94,90.1,20.73,18.77,19.75,26.08,15.88,0.69,0.15
TURRIALBA,agosto,2010,,,15.06,12.12,26.45,0.9,0.91,0.9,-999.0,184.9,91.94,20.58,18.99,19.78,26.51,17.07,0.65,0.15
TURRIALBA,septiembre,2010,,,14.54,12.03,26.29,0.95,0.97,0.95,-999.0,434.19,91.87,20.36,18.74,19.55,25.03,16.93,0.64,0.14
TURRIALBA,octubre,2010,,,14.06,11.45,25.02,0.96,0.97,0.94,-999.0,156.18,91.56,20.1,18.45,19.27,25.31,16.13,0.74,0.14
TURRIALBA,noviembre,2010,,,11.38,10.55,23.07,0.96,0.98,0.95,-999.0,372.89,92.29,19.28,17.76,18.52,24.75,14.27,0.96,0.15
TURRIALBA,diciembre,2010,,,12.48,10.2,22.45,0.94,0.95,0.93,-999.0,218.87,90.79,18.32,16.55,17.44,23.74,13.49,1.54,0.17
OREAMUNO,enero,2010,59.0,1690.02,17.06,10.49,23.32,0.79,0.8,0.81,-999.0,149.69,88.51,19.43,17.21,18.32,25.14,15.08,1.7,0.16
OREAMUNO,febrero,2010,79.81,2176.62,15.83,10.89,24.22,0.7,0.7,0.72,-999.0,64.47,87.4,20.36,17.9,19.13,26.46,15.19,1.38,0.14
OREAMUNO,marzo,2010,48.13,1179.0,17.38,11.65,26.0,0.69,0.69,0.7,-999.0,89.62,83.92,20.73,17.5,19.11,28.47,14.71,1.42,0.14
OREAMUNO,abril,2010,46.03,1078.0,16.45,12.14,26.69,0.62,0.62,0.63,-999.0,112.11,82.68,21.83,18.21,20.02,29.68,14.84,1.12,0.14
OREAMUNO,mayo,2010,35.53,886.49,15.62,12.29,26.82,0.72,0.73,0.75,-999.0,230.63,90.07,21.66,19.69,20.68,26.94,17.57,1.14,0.15
OREAMUNO,junio,2010,26.43,615.32,15.17,11.99,26.09,0.81,0.82,0.84,-999.0,183.16,89.9,20.69,18.7,19.7,26.93,15.91,0.78,0.13
OREAMUNO,julio,2010,24.85,685.58,14.73,12.05,26.24,0.87,0.88,0.88,-999.0,208.94,90.1,20.73,18.77,19.75,26.08,15.88,0.69,0.15
OREAMUNO,agosto,2010,92.56,2250.0,15.06,12.12,26.45,0.9,0.91,0.9,-999.0,184.9,91.94,20.58,18.99,19.78,26.51,17.07,0.65,0.15
OREAMUNO,septiembre,2010,55.67,1467.0,14.54,12.03,26.29,0.95,0.97,0.95,-999.0,434.19,91.87,20.36,18.74,19.55,25.03,16.93,0.64,0.14
OREAMUNO,octubre,2010,58.28,1028.0,14.06,11.45,25.02,0.96,0.97,0.94,-999.0,156.18,91.56,20.1,18.45,19.27,25.31,16.13,0.74,0.14
OREAMUNO,noviembre,2010,56.08,693.0,11.38,10.55,23.07,0.96,0.98,0.95,-999.0,372.89,92.29,19.28,17.76,18.52,24.75,14.27,0.96,0.15
OREAMUNO,diciembre,2010,33.98,1064.04,12.48,10.2,22.45,0.94,0.95,0.93,-999.0,218.87,90.79,18.32,16.55,17.44,23.74,13.49,1.54,0.17
EL GUARCO,enero,2010,,,17.06,10.49,23.32,0.75,0.75,0.77,-999.0,103.4,79.1,21.21,17.17,19.19,27.02,17.27,1.4,0.47
EL GUARCO,febrero,2010,,,15.83,10.89,24.22,0.67,0.66,0.68,-999.0,62.36,78.16,22.19,17.84,20.02,28.21,17.18,1.19,0.43
EL GUARCO,marzo,2010,,,17.38,11.65,26.0,0.68,0.68,0.69,-999.0,102.31,76.55,22.46,17.68,20.07,29.48,16.79,1.25,0.49
EL GUARCO,abril,2010,,,16.45,12.14,26.69,0.63,0.63,0.64,-999.0,117.78,79.38,22.85,18.59,20.72,30.19,16.23,0.88,0.45
EL GUARCO,mayo,2010,,,15.62,12.29,26.82,0.74,0.74,0.8,-999.0,205.87,88.54,22.22,20.01,21.11,28.23,18.88,1.16,0.54
EL GUARCO,junio,2010,,,15.17,11.99,26.09,0.8,0.81,0.86,-999.0,200.54,88.92,21.4,19.24,20.32,26.64,17.7,0.91,0.49
EL GUARCO,julio,2010,6.83,133.19,14.73,12.05,26.24,0.86,0.87,0.9,-999.0,198.0,90.29,21.14,19.25,20.2,25.89,17.68,0.93,0.53
EL GUARCO,agosto,2010,,,15.06,12.12,26.45,0.89,0.9,0.91,-999.0,172.15,91.9,20.96,19.4,20.18,26.07,18.35,1.07,0.56
EL GUARCO,septiembre,2010,,,14.54,12.03,26.29,0.93,0.94,0.95,-999.0,405.68,92.0,20.57,19.03,19.8,25.28,17.95,1.18,0.56
EL GUARCO,octubre,2010,,,14.06,11.45,25.02,0.95,0.97,0.94,-999.0,164.0,90.08,20.68,18.79,19.74,25.35,17.07,1.0,0.49
EL GUARCO,noviembre,2010,,,11.38,10.55,23.07,0.97,0.98,0.95,-999.0,337.04,91.11,19.95,18.25,19.1,24.29,16.33,0.81,0.47
EL GUARCO,diciembre,2010,,,12.48,10.2,22.45,0.94,0.95,0.92,-999.0,210.94,85.17,19.65,16.88,18.27,23.99,15.71,1.02,0.42
CARTAGO,enero,2010,153.69,3493.36,17.06,10.49,23.32,0.79,0.8,0.81,-999.0,149.69,88.51,19.43,17.21,18.32,25.14,15.08,1.7,0.16
CARTAGO,febrero,2010,119.74,2767.51,15.83,10.89,24.22,0.7,0.7,0.72,-999.0,64.47,87.4,20.36,17.9,19.13,26.46,15.19,1.38,0.14
CARTAGO,marzo,2010,5.95,113.02,17.38,11.65,26.0,0.69,0.69,0.7,-999.0,89.62,83.92,20.73,17.5,19.11,28.47,14.71,1.42,0.14
CARTAGO,abril,2010,4.91,92.09,16.45,12.14,26.69,0.62,0.62,0.63,-999.0,112.11,82.68,21.83,18.21,20.02,29.68,14.84,1.12,0.14
CARTAGO,mayo,2010,3.5,62.1,15.62,12.29,26.82,0.72,0.73,0.75,-999.0,230.63,90.07,21.66,19.69,20.68,26.94,17.57,1.14,0.15
CARTAGO,junio,2010,4.73,90.96,15.17,11.99,26.09,0.81,0.82,0.84,-999.0,183.16,89.9,20.69,18.7,19.7,26.93,15.91,0.78,0.13
CARTAGO,julio,2010,37.99,979.05,14.73,12.05,26.24,0.87,0.88,0.88,-999.0,208.94,90.1,20.73,18.77,19.75,26.08,15.88,0.69,0.15
CARTAGO,agosto,2010,176.1,3729.0,15.06,12.12,26.45,0.9,0.91,0.9,-999.0,184.9,91.94,20.58,18.99,19.78,26.51,17.07,0.65,0.15
CARTAGO,septiembre,2010,92.07,1893.0,14.54,12.03,26.29,0.95,0.97,0.95,-999.0,434.19,91.87,20.36,18.74,19.55,25.03,16.93,0.64,0.14
CARTAGO,octubre,2010,42.36,515.0,14.06,11.45,25.02,0.96,0.97,0.94,-999.0,156.18,91.56,20.1,18.45,19.27,25.31,16.13,0.74,0.14
CARTAGO,noviembre,2010,12.95,584.0,11.38,10.55,23.07,0.96,0.98,0.95,-999.0,372.89,92.29,19.28,17.76,18.52,24.75,14.27,0.96,0.15
CARTAGO,diciembre,2010,41.3,812.68,12.48,10.2,22.45,0.94,0.95,0.93,-999.0,218.87,90.79,18.32,16.55,17.44,23.74,13.49,1.54,0.17
ALVARADO,enero,2010,45.09,1113.52,17.06,10.49,23.32,0.79,0.8,0.81,-999.0,149.69,88.51,19.43,17.21,18.32,25.14,15.08,1.7,0.16
ALVARADO,febrero,2010,20.17,504.96,15.83,10.89,24.22,0.7,0.7,0.72,-999.0,64.47,87.4,20.36,17.9,19.13,26.46,15.19,1.38,0.14
ALVARADO,marzo,2010,11.2,232.25,17.38,11.65,26.0,0.69,0.69,0.7,-999.0,89.62,83.92,20.73,17.5,19.11,28.47,14.71,1.42,0.14
ALVARADO,abril,2010,59.07,1419.0,16.45,12.14,26.69,0.62,0.62,0.63,-999.0,112.11,82.68,21.83,18.21,20.02,29.68,14.84,1.12,0.14
ALVARADO,mayo,2010,55.86,1426.0,15.62,12.29,26.82,0.72,0.73,0.75,-999.0,230.63,90.07,21.66,19.69,20.68,26.94,17.57,1.14,0.15
ALVARADO,junio,2010,40.82,1027.0,15.17,11.99,26.09,0.81,0.82,0.84,-999.0,183.16,89.9,20.69,18.7,19.7,26.93,15.91,0.78,0.13
ALVARADO,julio,2010,,,14.73,12.05,26.24,0.87,0.88,0.88,-999.0,208.94,90.1,20.73,18.77,19.75,26.08,15.88,0.69,0.15
ALVARADO,agosto,2010,49.48,1422.0,15.06,12.12,26.45,0.9,0.91,0.9,-999.0,184.9,91.94,20.58,18.99,19.78,26.51,17.07,0.65,0.15
ALVARADO,septiembre,2010,79.11,2445.0,14.54,12.03,26.29,0.95,0.97,0.95,-999.0,434.19,91.87,20.36,18.74,19.55,25.03,16.93,0.64,0.14
ALVARADO,octubre,2010,40.1,1078.0,14.06,11.45,25.02,0.96,0.97,0.94,-999.0,156.18,91.56,20.1,18.45,19.27,25.31,16.13,0.74,0.14
ALVARADO,noviembre,2010,13.48,738.0,11.38,10.55,23.07,0.96,0.98,0.95,-999.0,372.89,92.29,19.28,17.76,18.52,24.75,14.27,0.96,0.15
ALVARADO,diciembre,2010,9.81,289.63,12.48,10.2,22.45,0.94,0.95,0.93,-999.0,218.87,90.79,18.32,16.55,17.44,23.74,13.49,1.54,0.17
TURRIALBA,enero,2011,,,15.17,10.41,23.15,0.89,0.91,0.89,-999.0,149.98,89.29,18.88,16.77,17.83,24.33,14.43,1.46,0.14
TURRIALBA,febrero,2011,,,18.16,11.39,25.36,0.82,0.82,0.83,-999.0,122.21,88.61,19.27,17.03,18.15,24.9,15.17,1.6,0.15
TURRIALBA,marzo,2011,,,19.43,12.09,27.01,0.73,0.73,0.73,-999.0,12.16,83.23,19.42,16.05,17.74,27.51,13.7,1.5,0.15
TURRIALBA,abril,2011,4.2,109.3,16.87,11.98,26.7,0.62,0.62,0.62,-999.0,45.77,79.61,20.62,16.3,18.46,28.87,14.01,1.28,0.15
TURRIALBA,mayo,2011,0.18,3.83,16.13,11.91,26.24,0.6,0.6,0.61,-999.0,97.48,80.84,21.73,17.66,19.69,29.62,15.82,1.07,0.16
TURRIALBA,junio,2011,11.9,295.18,15.52,11.99,26.15,0.72,0.73,0.76,-999.0,232.45,88.15,21.06,18.68,19.87,27.72,17.29,0.83,0.13
TURRIALBA,julio,2011,3.33,88.12,14.93,11.99,26.21,0.83,0.85,0.86,-999.0,221.1,90.92,20.43,18.62,19.53,25.88,14.98,0.8,0.13
TURRIALBA,agosto,2011,,,16.52,12.07,26.45,0.86,0.88,0.88,-999.0,209.41,88.92,20.64,18.42,19.53,26.51,16.32,0.77,0.13
TURRIALBA,septiembre,2011,,,15.93,11.98,26.27,0.9,0.91,0.9,-999.0,170.9,90.33,20.58,18.65,19.62,25.56,16.0,0.69,0.16
TURRIALBA,octubre,2011,,,12.53,11.52,25.11,0.95,0.97,0.95,-999.0,427.54,93.43,19.9,18.59,19.24,25.68,15.48,0.65,0.13
TURRIALBA,noviembre,2011,1.05,31.05,13.08,10.68,23.31,0.95,0.97,0.94,-999.0,210.3,91.93,19.51,17.91,18.71,24.62,15.3,1.06,0.14
TURRIALBA,diciembre,2011,29.93,751.53,12.89,10.23,22.45,0.94,0.96,0.93,-999.0,179.2,92.65,19.13,17.67,18.4,23.87,15.88,1.49,0.14
OREAMUNO,enero,2011,34.84,392.0,15.17,10.41,23.15,0.89,0.91,0.89,-999.0,149.98,89.29,18.88,16.77,17.83,24.33,14.43,1.46,0.14
OREAMUNO,febrero,2011,54.08,1071.0,18.16,11.39,25.36,0.82,0.82,0.83,-999.0,122.21,88.61,19.27,17.03,18.15,24.9,15.17,1.6,0.15
OREAMUNO,marzo,2011,32.74,952.2,19.43,12.09,27.01,0.73,0.73,0.73,-999.0,12.16,83.23,19.42,16.05,17.74,27.51,13.7,1.5,0.15
OREAMUNO,abril,2011,67.17,1415.81,16.87,11.98,26.7,0.62,0.62,0.62,-999.0,45.77,79.61,20.62,16.3,18.46,28.87,14.01,1.28,0.15
OREAMUNO,mayo,2011,64.49,1578.58,16.13,11.91,26.24,0.6,0.6,0.61,-999.0,97.48,80.84,21.73,17.66,19.69,29.62,15.82,1.07,0.16
OREAMUNO,junio,2011,42.01,1059.25,15.52,11.99,26.15,0.72,0.73,0.76,-999.0,232.45,88.15,21.06,18.68,19.87,27.72,17.29,0.83,0.13
OREAMUNO,julio,2011,58.8,1441.5500000000002,14.93,11.99,26.21,0.83,0.85,0.86,-999.0,221.1,90.92,20.43,18.62,19.53,25.88,14.98,0.8,0.13
OREAMUNO,agosto,2011,68.49,1854.66,16.52,12.07,26.45,0.86,0.88,0.88,-999.0,209.41,88.92,20.64,18.42,19.53,26.51,16.32,0.77,0.13
OREAMUNO,septiembre,2011,68.35,727.8,15.93,11.98,26.27,0.9,0.91,0.9,-999.0,170.9,90.33,20.58,18.65,19.62,25.56,16.0,0.69,0.16
OREAMUNO,octubre,2011,64.1,1376.9,12.53,11.52,25.11,0.95,0.97,0.95,-999.0,427.54,93.43,19.9,18.59,19.24,25.68,15.48,0.65,0.13
OREAMUNO,noviembre,2011,57.9,875.6,13.08,10.68,23.31,0.95,0.97,0.94,-999.0,210.3,91.93,19.51,17.91,18.71,24.62,15.3,1.06,0.14
OREAMUNO,diciembre,2011,140.36,3774.87,12.89,10.23,22.45,0.94,0.96,0.93,-999.0,179.2,92.65,19.13,17.67,18.4,23.87,15.88,1.49,0.14
EL GUARCO,enero,2011,,,15.17,10.41,23.15,0.87,0.87,0.88,-999.0,116.09,82.73,20.1,16.83,18.47,24.91,15.39,1.04,0.43
EL GUARCO,febrero,2011,,,18.16,11.39,25.36,0.76,0.76,0.79,-999.0,116.63,79.73,20.78,16.87,18.83,26.52,16.64,1.16,0.46
EL GUARCO,marzo,2011,,,19.43,12.09,27.01,0.69,0.69,0.69,-999.0,18.06,73.64,21.24,15.84,18.54,28.68,15.7,1.22,0.48
EL GUARCO,abril,2011,,,16.87,11.98,26.7,0.63,0.62,0.63,-999.0,52.42,75.26,21.91,16.71,19.31,29.17,16.0,0.92,0.45
EL GUARCO,mayo,2011,,,16.13,11.91,26.24,0.62,0.63,0.65,-999.0,115.87,82.32,22.3,18.64,20.47,29.55,18.42,0.86,0.47
EL GUARCO,junio,2011,,,15.52,11.99,26.15,0.74,0.74,0.8,-999.0,229.6,88.06,21.54,19.18,20.36,27.64,18.29,0.84,0.46
EL GUARCO,julio,2011,,,14.93,11.99,26.21,0.83,0.84,0.88,-999.0,205.5,88.27,21.13,18.86,20.0,26.26,17.06,0.95,0.49
EL GUARCO,agosto,2011,,,16.52,12.07,26.45,0.85,0.86,0.88,-999.0,217.42,87.42,21.4,18.91,20.16,26.88,17.77,0.86,0.49
EL GUARCO,septiembre,2011,,,15.93,11.98,26.27,0.88,0.89,0.9,-999.0,162.81,88.87,21.15,18.97,20.06,26.77,17.93,0.89,0.49
EL GUARCO,octubre,2011,,,12.53,11.52,25.11,0.92,0.94,0.94,-999.0,347.09,93.28,20.23,18.94,19.58,25.4,17.03,1.28,0.62
EL GUARCO,noviembre,2011,,,13.08,10.68,23.31,0.94,0.95,0.93,-999.0,201.61,88.66,20.35,18.2,19.27,25.57,16.44,0.8,0.43
EL GUARCO,diciembre,2011,,,12.89,10.23,22.45,0.92,0.93,0.92,-999.0,157.56,87.0,20.19,17.77,18.98,24.92,17.12,0.97,0.41
CARTAGO,enero,2011,61.97,183.0,15.17,10.41,23.15,0.89,0.91,0.89,-999.0,149.98,89.29,18.88,16.77,17.83,24.33,14.43,1.46,0.14
CARTAGO,febrero,2011,74.2,2588.0,18.16,11.39,25.36,0.82,0.82,0.83,-999.0,122.21,88.61,19.27,17.03,18.15,24.9,15.17,1.6,0.15
CARTAGO,marzo,2011,,,19.43,12.09,27.01,0.73,0.73,0.73,-999.0,12.16,83.23,19.42,16.05,17.74,27.51,13.7,1.5,0.15
CARTAGO,abril,2011,15.94,412.46,16.87,11.98,26.7,0.62,0.62,0.62,-999.0,45.77,79.61,20.62,16.3,18.46,28.87,14.01,1.28,0.15
CARTAGO,mayo,2011,7.7,182.16,16.13,11.91,26.24,0.6,0.6,0.61,-999.0,97.48,80.84,21.73,17.66,19.69,29.62,15.82,1.07,0.16
CARTAGO,junio,2011,3.85,86.53,15.52,11.99,26.15,0.72,0.73,0.76,-999.0,232.45,88.15,21.06,18.68,19.87,27.72,17.29,0.83,0.13
CARTAGO,julio,2011,32.379999999999995,842.2,14.93,11.99,26.21,0.83,0.85,0.86,-999.0,221.1,90.92,20.43,18.62,19.53,25.88,14.98,0.8,0.13
CARTAGO,agosto,2011,39.04,949.42,16.52,12.07,26.45,0.86,0.88,0.88,-999.0,209.41,88.92,20.64,18.42,19.53,26.51,16.32,0.77,0.13
CARTAGO,septiembre,2011,131.34,2362.1,15.93,11.98,26.27,0.9,0.91,0.9,-999.0,170.9,90.33,20.58,18.65,19.62,25.56,16.0,0.69,0.16
CARTAGO,octubre,2011,73.48,1238.9,12.53,11.52,25.11,0.95,0.97,0.95,-999.0,427.54,93.43,19.9,18.59,19.24,25.68,15.48,0.65,0.13
CARTAGO,noviembre,2011,46.0,766.21,13.08,10.68,23.31,0.95,0.97,0.94,-999.0,210.3,91.93,19.51,17.91,18.71,24.62,15.3,1.06,0.14
CARTAGO,diciembre,2011,61.96,1581.3,12.89,10.23,22.45,0.94,0.96,0.93,-999.0,179.2,92.65,19.13,17.67,18.4,23.87,15.88,1.49,0.14
ALVARADO,enero,2011,18.38,460.0,15.17,10.41,23.15,0.89,0.91,0.89,-999.0,149.98,89.29,18.88,16.77,17.83,24.33,14.43,1.46,0.14
ALVARADO,febrero,2011,,,18.16,11.39,25.36,0.82,0.82,0.83,-999.0,122.21,88.61,19.27,17.03,18.15,24.9,15.17,1.6,0.15
ALVARADO,marzo,2011,9.1,130.0,19.43,12.09,27.01,0.73,0.73,0.73,-999.0,12.16,83.23,19.42,16.05,17.74,27.51,13.7,1.5,0.15
ALVARADO,abril,2011,62.72,1440.54,16.87,11.98,26.7,0.62,0.62,0.62,-999.0,45.77,79.61,20.62,16.3,18.46,28.87,14.01,1.28,0.15
ALVARADO,mayo,2011,87.47,2091.44,16.13,11.91,26.24,0.6,0.6,0.61,-999.0,97.48,80.84,21.73,17.66,19.69,29.62,15.82,1.07,0.16
ALVARADO,junio,2011,72.82,1799.01,15.52,11.99,26.15,0.72,0.73,0.76,-999.0,232.45,88.15,21.06,18.68,19.87,27.72,17.29,0.83,0.13
